"Land","Geschlecht","count","Jahr"
"AFG","Men",0,1976
"AHO","Men",2,1976
"ALB","Men",0,1976
"ALG","Men",0,1976
"AND","Men",0,1976
"ANG","Men",0,1976
"ANT","Men",0,1976
"ARG","Men",2,1976
"ARM","Men",0,1976
"ARU","Men",0,1976
"ASA","Men",0,1976
"AUS","Men",16,1976
"AUT","Men",3,1976
"AZE","Men",0,1976
"BAH","Men",7,1976
"BAN","Men",0,1976
"BAR","Men",7,1976
"BDI","Men",0,1976
"BEL","Men",17,1976
"BEN","Men",0,1976
"BER","Men",7,1976
"BIH","Men",0,1976
"BIR","Men",0,1976
"BIZ","Men",2,1976
"BLR","Men",0,1976
"BOL","Men",1,1976
"BOT","Men",0,1976
"BRA","Men",5,1976
"BRN","Men",0,1976
"BRU","Men",0,1976
"BUL","Men",4,1976
"BUR","Men",0,1976
"CAF","Men",0,1976
"CAM","Men",0,1976
"CAN","Men",36,1976
"CAY","Men",0,1976
"CGO","Men",0,1976
"CHA","Men",0,1976
"CHI","Men",1,1976
"CHN","Men",0,1976
"CIV","Men",7,1976
"CMR","Men",0,1976
"COD","Men",0,1976
"COK","Men",0,1976
"COL","Men",7,1976
"COM","Men",0,1976
"CPV","Men",0,1976
"CRC","Men",0,1976
"CRO","Men",0,1976
"CUB","Men",18,1976
"CUR","Men",0,1976
"CYP","Men",0,1976
"CZE","Men",0,1976
"DEN","Men",3,1976
"DJI","Men",0,1976
"DMA","Men",0,1976
"DOM","Men",1,1976
"ECU","Men",0,1976
"EGY","Men",0,1976
"ERI","Men",0,1976
"ESA","Men",0,1976
"ESP","Men",16,1976
"EST","Men",0,1976
"ETH","Men",0,1976
"EUN","Men",0,1976
"FIJ","Men",1,1976
"FIN","Men",25,1976
"FRA","Men",38,1976
"FRG","Men",37,1976
"FSM","Men",0,1976
"GAB","Men",0,1976
"GAM","Men",0,1976
"GBR","Men",31,1976
"GBS","Men",0,1976
"GDR","Men",23,1976
"GEO","Men",0,1976
"GEQ","Men",0,1976
"GER","Men",0,1976
"GHA","Men",0,1976
"GRE","Men",10,1976
"GRN","Men",0,1976
"GUA","Men",0,1976
"GUI","Men",0,1976
"GUM","Men",0,1976
"GUY","Men",0,1976
"HAI","Men",7,1976
"HKG","Men",0,1976
"HON","Men",3,1976
"HUN","Men",10,1976
"ICP","Men",0,1976
"INA","Men",0,1976
"IND","Men",4,1976
"IOA","Men",0,1976
"IRI","Men",4,1976
"IRL","Men",6,1976
"IRQ","Men",0,1976
"ISL","Men",5,1976
"ISR","Men",0,1976
"ISV","Men",2,1976
"ITA","Men",25,1976
"IVB","Men",0,1976
"JAM","Men",5,1976
"JOR","Men",0,1976
"JPN","Men",13,1976
"KAZ","Men",0,1976
"KEN","Men",0,1976
"KGZ","Men",0,1976
"KIR","Men",0,1976
"KOR","Men",0,1976
"KSA","Men",14,1976
"KUW","Men",6,1976
"LAN","Men",8,1976
"LAO","Men",0,1976
"LAT","Men",0,1976
"LBA","Men",0,1976
"LBR","Men",0,1976
"LCA","Men",0,1976
"LES","Men",0,1976
"LIB","Men",1,1976
"LIE","Men",1,1976
"LTU","Men",0,1976
"LUX","Men",3,1976
"MAD","Men",0,1976
"MAR","Men",0,1976
"MAS","Men",3,1976
"MAW","Men",0,1976
"MDA","Men",0,1976
"MDV","Men",0,1976
"MEX","Men",7,1976
"MGL","Men",0,1976
"MHL","Men",0,1976
"MKD","Men",0,1976
"MLI","Men",0,1976
"MLT","Men",0,1976
"MNE","Men",0,1976
"MON","Men",0,1976
"MOZ","Men",0,1976
"MRI","Men",0,1976
"MTN","Men",0,1976
"MYA","Men",0,1976
"NAM","Men",0,1976
"NCA","Men",5,1976
"NED","Men",3,1976
"NEP","Men",1,1976
"NGR","Men",0,1976
"NIG","Men",0,1976
"NOR","Men",8,1976
"NZL","Men",7,1976
"OMA","Men",0,1976
"PAK","Men",2,1976
"PAN","Men",1,1976
"PAR","Men",1,1976
"PER","Men",0,1976
"PHI","Men",1,1976
"PLE","Men",0,1976
"PLW","Men",0,1976
"PNG","Men",3,1976
"POL","Men",28,1976
"POR","Men",6,1976
"PRK","Men",3,1976
"PRY","Men",0,1976
"PUR","Men",9,1976
"QAT","Men",0,1976
"ROU","Men",6,1976
"RSA","Men",0,1976
"RUS","Men",0,1976
"RWA","Men",0,1976
"SAM","Men",0,1976
"SCG","Men",0,1976
"SEN","Men",8,1976
"SEY","Men",0,1976
"SIN","Men",0,1976
"SKN","Men",0,1976
"SLE","Men",0,1976
"SLO","Men",0,1976
"SMR","Men",0,1976
"SOL","Men",0,1976
"SOM","Men",0,1976
"SRB","Men",0,1976
"SRI","Men",0,1976
"SSD","Men",0,1976
"STP","Men",0,1976
"SUD","Men",0,1976
"SUI","Men",6,1976
"SUR","Men",2,1976
"SVK","Men",0,1976
"SWE","Men",17,1976
"SWZ","Men",0,1976
"SYR","Men",0,1976
"TAN","Men",0,1976
"TCH","Men",7,1976
"TGA","Men",0,1976
"THA","Men",4,1976
"TJK","Men",0,1976
"TKM","Men",0,1976
"TLS","Men",0,1976
"TOG","Men",0,1976
"TPE","Men",0,1976
"TTO","Men",10,1976
"TUN","Men",0,1976
"TUR","Men",2,1976
"TUV","Men",0,1976
"UAE","Men",0,1976
"UGA","Men",0,1976
"UKR","Men",0,1976
"URS","Men",39,1976
"URU","Men",0,1976
"USA","Men",61,1976
"UZB","Men",0,1976
"VAN","Men",0,1976
"VEN","Men",0,1976
"VIE","Men",0,1976
"VIN","Men",0,1976
"YAR","Men",0,1976
"YEM","Men",0,1976
"YUG","Men",9,1976
"ZAI","Men",0,1976
"ZAM","Men",0,1976
"ZIM","Men",0,1976
"AFG","Women",0,1976
"AHO","Women",0,1976
"ALB","Women",0,1976
"ALG","Women",0,1976
"AND","Women",0,1976
"ANG","Women",0,1976
"ANT","Women",0,1976
"ARG","Women",0,1976
"ARM","Women",0,1976
"ARU","Women",0,1976
"ASA","Women",0,1976
"AUS","Women",11,1976
"AUT","Women",3,1976
"AZE","Women",0,1976
"BAH","Women",1,1976
"BAN","Women",0,1976
"BAR","Women",2,1976
"BDI","Women",0,1976
"BEL","Women",8,1976
"BEN","Women",0,1976
"BER","Women",1,1976
"BIH","Women",0,1976
"BIR","Women",0,1976
"BIZ","Women",0,1976
"BLR","Women",0,1976
"BOL","Women",0,1976
"BOT","Women",0,1976
"BRA","Women",3,1976
"BRN","Women",0,1976
"BRU","Women",0,1976
"BUL","Women",15,1976
"BUR","Women",0,1976
"CAF","Women",0,1976
"CAM","Women",0,1976
"CAN","Women",19,1976
"CAY","Women",0,1976
"CGO","Women",0,1976
"CHA","Women",0,1976
"CHI","Women",0,1976
"CHN","Women",0,1976
"CIV","Women",1,1976
"CMR","Women",0,1976
"COD","Women",0,1976
"COK","Women",0,1976
"COL","Women",0,1976
"COM","Women",0,1976
"CPV","Women",0,1976
"CRC","Women",0,1976
"CRO","Women",0,1976
"CUB","Women",8,1976
"CUR","Women",0,1976
"CYP","Women",0,1976
"CZE","Women",0,1976
"DEN","Women",0,1976
"DJI","Women",0,1976
"DMA","Women",0,1976
"DOM","Women",1,1976
"ECU","Women",0,1976
"EGY","Women",0,1976
"ERI","Women",0,1976
"ESA","Women",0,1976
"ESP","Women",1,1976
"EST","Women",0,1976
"ETH","Women",0,1976
"EUN","Women",0,1976
"FIJ","Women",1,1976
"FIN","Women",6,1976
"FRA","Women",6,1976
"FRG","Women",17,1976
"FSM","Women",0,1976
"GAB","Women",0,1976
"GAM","Women",0,1976
"GBR","Women",21,1976
"GBS","Women",0,1976
"GDR","Women",35,1976
"GEO","Women",0,1976
"GEQ","Women",0,1976
"GER","Women",0,1976
"GHA","Women",0,1976
"GRE","Women",2,1976
"GRN","Women",0,1976
"GUA","Women",0,1976
"GUI","Women",0,1976
"GUM","Women",0,1976
"GUY","Women",0,1976
"HAI","Women",3,1976
"HKG","Women",0,1976
"HON","Women",0,1976
"HUN","Women",6,1976
"ICP","Women",0,1976
"INA","Women",1,1976
"IND","Women",0,1976
"IOA","Women",0,1976
"IRI","Women",0,1976
"IRL","Women",1,1976
"IRQ","Women",0,1976
"ISL","Women",2,1976
"ISR","Women",1,1976
"ISV","Women",1,1976
"ITA","Women",7,1976
"IVB","Women",0,1976
"JAM","Women",9,1976
"JOR","Women",0,1976
"JPN","Women",2,1976
"KAZ","Women",0,1976
"KEN","Women",0,1976
"KGZ","Women",0,1976
"KIR","Women",0,1976
"KOR","Women",0,1976
"KSA","Women",0,1976
"KUW","Women",0,1976
"LAN","Women",0,1976
"LAO","Women",0,1976
"LAT","Women",0,1976
"LBA","Women",0,1976
"LBR","Women",0,1976
"LCA","Women",0,1976
"LES","Women",0,1976
"LIB","Women",0,1976
"LIE","Women",2,1976
"LTU","Women",0,1976
"LUX","Women",0,1976
"MAD","Women",0,1976
"MAR","Women",0,1976
"MAS","Women",0,1976
"MAW","Women",0,1976
"MDA","Women",0,1976
"MDV","Women",0,1976
"MEX","Women",0,1976
"MGL","Women",0,1976
"MHL","Women",0,1976
"MKD","Women",0,1976
"MLI","Women",0,1976
"MLT","Women",0,1976
"MNE","Women",0,1976
"MON","Women",0,1976
"MOZ","Women",0,1976
"MRI","Women",0,1976
"MTN","Women",0,1976
"MYA","Women",0,1976
"NAM","Women",0,1976
"NCA","Women",0,1976
"NED","Women",2,1976
"NEP","Women",0,1976
"NGR","Women",0,1976
"NIG","Women",0,1976
"NOR","Women",2,1976
"NZL","Women",3,1976
"OMA","Women",0,1976
"PAK","Women",0,1976
"PAN","Women",0,1976
"PAR","Women",0,1976
"PER","Women",1,1976
"PHI","Women",0,1976
"PLE","Women",0,1976
"PLW","Women",0,1976
"PNG","Women",0,1976
"POL","Women",4,1976
"POR","Women",0,1976
"PRK","Women",0,1976
"PRY","Women",0,1976
"PUR","Women",1,1976
"QAT","Women",0,1976
"ROU","Women",10,1976
"RSA","Women",0,1976
"RUS","Women",0,1976
"RWA","Women",0,1976
"SAM","Women",0,1976
"SCG","Women",0,1976
"SEN","Women",2,1976
"SEY","Women",0,1976
"SIN","Women",1,1976
"SKN","Women",0,1976
"SLE","Women",0,1976
"SLO","Women",0,1976
"SMR","Women",2,1976
"SOL","Women",0,1976
"SOM","Women",0,1976
"SRB","Women",0,1976
"SRI","Women",0,1976
"SSD","Women",0,1976
"STP","Women",0,1976
"SUD","Women",0,1976
"SUI","Women",1,1976
"SUR","Women",0,1976
"SVK","Women",0,1976
"SWE","Women",2,1976
"SWZ","Women",0,1976
"SYR","Women",0,1976
"TAN","Women",0,1976
"TCH","Women",7,1976
"TGA","Women",0,1976
"THA","Women",0,1976
"TJK","Women",0,1976
"TKM","Women",0,1976
"TLS","Women",0,1976
"TOG","Women",0,1976
"TPE","Women",0,1976
"TTO","Women",0,1976
"TUN","Women",0,1976
"TUR","Women",0,1976
"TUV","Women",0,1976
"UAE","Women",0,1976
"UGA","Women",0,1976
"UKR","Women",0,1976
"URS","Women",31,1976
"URU","Women",1,1976
"USA","Women",31,1976
"UZB","Women",0,1976
"VAN","Women",0,1976
"VEN","Women",1,1976
"VIE","Women",0,1976
"VIN","Women",0,1976
"YAR","Women",0,1976
"YEM","Women",0,1976
"YUG","Women",4,1976
"ZAI","Women",0,1976
"ZAM","Women",0,1976
"ZIM","Women",0,1976
"AFG","Men",0,1980
"AHO","Men",0,1980
"ALB","Men",0,1980
"ALG","Men",9,1980
"AND","Men",0,1980
"ANG","Men",3,1980
"ANT","Men",0,1980
"ARG","Men",0,1980
"ARM","Men",0,1980
"ARU","Men",0,1980
"ASA","Men",0,1980
"AUS","Men",14,1980
"AUT","Men",10,1980
"AZE","Men",0,1980
"BAH","Men",0,1980
"BAN","Men",0,1980
"BAR","Men",0,1980
"BDI","Men",0,1980
"BEL","Men",12,1980
"BEN","Men",8,1980
"BER","Men",0,1980
"BIH","Men",0,1980
"BIR","Men",1,1980
"BIZ","Men",0,1980
"BLR","Men",0,1980
"BOL","Men",0,1980
"BOT","Men",7,1980
"BRA","Men",10,1980
"BRN","Men",0,1980
"BRU","Men",0,1980
"BUL","Men",22,1980
"BUR","Men",0,1980
"CAF","Men",0,1980
"CAM","Men",0,1980
"CAN","Men",0,1980
"CAY","Men",0,1980
"CGO","Men",6,1980
"CHA","Men",0,1980
"CHI","Men",0,1980
"CHN","Men",0,1980
"CIV","Men",0,1980
"CMR","Men",1,1980
"COD","Men",0,1980
"COK","Men",0,1980
"COL","Men",4,1980
"COM","Men",0,1980
"CPV","Men",0,1980
"CRC","Men",0,1980
"CRO","Men",0,1980
"CUB","Men",13,1980
"CUR","Men",0,1980
"CYP","Men",0,1980
"CZE","Men",0,1980
"DEN","Men",2,1980
"DJI","Men",0,1980
"DMA","Men",0,1980
"DOM","Men",1,1980
"ECU","Men",0,1980
"EGY","Men",0,1980
"ERI","Men",0,1980
"ESA","Men",0,1980
"ESP","Men",21,1980
"EST","Men",0,1980
"ETH","Men",23,1980
"EUN","Men",0,1980
"FIJ","Men",0,1980
"FIN","Men",23,1980
"FRA","Men",22,1980
"FRG","Men",0,1980
"FSM","Men",0,1980
"GAB","Men",0,1980
"GAM","Men",0,1980
"GBR","Men",39,1980
"GBS","Men",0,1980
"GDR","Men",49,1980
"GEO","Men",0,1980
"GEQ","Men",0,1980
"GER","Men",0,1980
"GHA","Men",0,1980
"GRE","Men",6,1980
"GRN","Men",0,1980
"GUA","Men",0,1980
"GUI","Men",3,1980
"GUM","Men",0,1980
"GUY","Men",1,1980
"HAI","Men",0,1980
"HKG","Men",0,1980
"HON","Men",0,1980
"HUN","Men",15,1980
"ICP","Men",0,1980
"INA","Men",0,1980
"IND","Men",9,1980
"IOA","Men",0,1980
"IRI","Men",0,1980
"IRL","Men",7,1980
"IRQ","Men",6,1980
"ISL","Men",4,1980
"ISR","Men",0,1980
"ISV","Men",0,1980
"ITA","Men",17,1980
"IVB","Men",0,1980
"JAM","Men",9,1980
"JOR","Men",0,1980
"JPN","Men",0,1980
"KAZ","Men",0,1980
"KEN","Men",0,1980
"KGZ","Men",0,1980
"KIR","Men",0,1980
"KOR","Men",0,1980
"KSA","Men",0,1980
"KUW","Men",8,1980
"LAN","Men",0,1980
"LAO","Men",5,1980
"LAT","Men",0,1980
"LBA","Men",7,1980
"LBR","Men",0,1980
"LCA","Men",0,1980
"LES","Men",5,1980
"LIB","Men",2,1980
"LIE","Men",0,1980
"LTU","Men",0,1980
"LUX","Men",1,1980
"MAD","Men",2,1980
"MAR","Men",0,1980
"MAS","Men",0,1980
"MAW","Men",0,1980
"MDA","Men",0,1980
"MDV","Men",0,1980
"MEX","Men",7,1980
"MGL","Men",0,1980
"MHL","Men",0,1980
"MKD","Men",0,1980
"MLI","Men",2,1980
"MLT","Men",0,1980
"MNE","Men",0,1980
"MON","Men",0,1980
"MOZ","Men",7,1980
"MRI","Men",0,1980
"MTN","Men",0,1980
"MYA","Men",0,1980
"NAM","Men",0,1980
"NCA","Men",1,1980
"NED","Men",7,1980
"NEP","Men",5,1980
"NGR","Men",10,1980
"NIG","Men",0,1980
"NOR","Men",0,1980
"NZL","Men",0,1980
"OMA","Men",0,1980
"PAK","Men",0,1980
"PAN","Men",0,1980
"PAR","Men",0,1980
"PER","Men",3,1980
"PHI","Men",0,1980
"PLE","Men",0,1980
"PLW","Men",0,1980
"PNG","Men",0,1980
"POL","Men",31,1980
"POR","Men",3,1980
"PRK","Men",3,1980
"PRY","Men",0,1980
"PUR","Men",0,1980
"QAT","Men",0,1980
"ROU","Men",8,1980
"RSA","Men",0,1980
"RUS","Men",0,1980
"RWA","Men",0,1980
"SAM","Men",0,1980
"SCG","Men",0,1980
"SEN","Men",8,1980
"SEY","Men",7,1980
"SIN","Men",0,1980
"SKN","Men",0,1980
"SLE","Men",10,1980
"SLO","Men",0,1980
"SMR","Men",1,1980
"SOL","Men",0,1980
"SOM","Men",0,1980
"SRB","Men",0,1980
"SRI","Men",4,1980
"SSD","Men",0,1980
"STP","Men",0,1980
"SUD","Men",0,1980
"SUI","Men",13,1980
"SUR","Men",0,1980
"SVK","Men",0,1980
"SWE","Men",10,1980
"SWZ","Men",0,1980
"SYR","Men",10,1980
"TAN","Men",11,1980
"TCH","Men",18,1980
"TGA","Men",0,1980
"THA","Men",0,1980
"TJK","Men",0,1980
"TKM","Men",0,1980
"TLS","Men",0,1980
"TOG","Men",0,1980
"TPE","Men",0,1980
"TTO","Men",9,1980
"TUN","Men",0,1980
"TUR","Men",0,1980
"TUV","Men",0,1980
"UAE","Men",0,1980
"UGA","Men",6,1980
"UKR","Men",0,1980
"URS","Men",64,1980
"URU","Men",0,1980
"USA","Men",0,1980
"UZB","Men",0,1980
"VAN","Men",0,1980
"VEN","Men",1,1980
"VIE","Men",3,1980
"VIN","Men",0,1980
"YAR","Men",0,1980
"YEM","Men",0,1980
"YUG","Men",12,1980
"ZAI","Men",0,1980
"ZAM","Men",9,1980
"ZIM","Men",4,1980
"AFG","Women",0,1980
"AHO","Women",0,1980
"ALB","Women",0,1980
"ALG","Women",0,1980
"AND","Women",0,1980
"ANG","Women",0,1980
"ANT","Women",0,1980
"ARG","Women",0,1980
"ARM","Women",0,1980
"ARU","Women",0,1980
"ASA","Women",0,1980
"AUS","Women",7,1980
"AUT","Women",1,1980
"AZE","Women",0,1980
"BAH","Women",0,1980
"BAN","Women",0,1980
"BAR","Women",0,1980
"BDI","Women",0,1980
"BEL","Women",7,1980
"BEN","Women",1,1980
"BER","Women",0,1980
"BIH","Women",0,1980
"BIR","Women",0,1980
"BIZ","Women",0,1980
"BLR","Women",0,1980
"BOL","Women",0,1980
"BOT","Women",0,1980
"BRA","Women",1,1980
"BRN","Women",0,1980
"BRU","Women",0,1980
"BUL","Women",25,1980
"BUR","Women",0,1980
"CAF","Women",0,1980
"CAM","Women",0,1980
"CAN","Women",0,1980
"CAY","Women",0,1980
"CGO","Women",0,1980
"CHA","Women",0,1980
"CHI","Women",0,1980
"CHN","Women",0,1980
"CIV","Women",0,1980
"CMR","Women",3,1980
"COD","Women",0,1980
"COK","Women",0,1980
"COL","Women",0,1980
"COM","Women",0,1980
"CPV","Women",0,1980
"CRC","Women",0,1980
"CRO","Women",0,1980
"CUB","Women",4,1980
"CUR","Women",0,1980
"CYP","Women",0,1980
"CZE","Women",0,1980
"DEN","Women",0,1980
"DJI","Women",0,1980
"DMA","Women",0,1980
"DOM","Women",1,1980
"ECU","Women",1,1980
"EGY","Women",0,1980
"ERI","Women",0,1980
"ESA","Women",0,1980
"ESP","Women",0,1980
"EST","Women",0,1980
"ETH","Women",2,1980
"EUN","Women",0,1980
"FIJ","Women",0,1980
"FIN","Women",3,1980
"FRA","Women",9,1980
"FRG","Women",0,1980
"FSM","Women",0,1980
"GAB","Women",0,1980
"GAM","Women",0,1980
"GBR","Women",22,1980
"GBS","Women",0,1980
"GDR","Women",33,1980
"GEO","Women",0,1980
"GEQ","Women",0,1980
"GER","Women",0,1980
"GHA","Women",0,1980
"GRE","Women",2,1980
"GRN","Women",0,1980
"GUA","Women",0,1980
"GUI","Women",0,1980
"GUM","Women",0,1980
"GUY","Women",1,1980
"HAI","Women",0,1980
"HKG","Women",0,1980
"HON","Women",0,1980
"HUN","Women",12,1980
"ICP","Women",0,1980
"INA","Women",0,1980
"IND","Women",2,1980
"IOA","Women",0,1980
"IRI","Women",0,1980
"IRL","Women",0,1980
"IRQ","Women",0,1980
"ISL","Women",0,1980
"ISR","Women",0,1980
"ISV","Women",0,1980
"ITA","Women",9,1980
"IVB","Women",0,1980
"JAM","Women",7,1980
"JOR","Women",0,1980
"JPN","Women",0,1980
"KAZ","Women",0,1980
"KEN","Women",0,1980
"KGZ","Women",0,1980
"KIR","Women",0,1980
"KOR","Women",0,1980
"KSA","Women",0,1980
"KUW","Women",0,1980
"LAN","Women",0,1980
"LAO","Women",2,1980
"LAT","Women",0,1980
"LBA","Women",0,1980
"LBR","Women",0,1980
"LCA","Women",0,1980
"LES","Women",0,1980
"LIB","Women",0,1980
"LIE","Women",0,1980
"LTU","Women",0,1980
"LUX","Women",0,1980
"MAD","Women",1,1980
"MAR","Women",0,1980
"MAS","Women",0,1980
"MAW","Women",0,1980
"MDA","Women",0,1980
"MDV","Women",0,1980
"MEX","Women",0,1980
"MGL","Women",0,1980
"MHL","Women",0,1980
"MKD","Women",0,1980
"MLI","Women",1,1980
"MLT","Women",0,1980
"MNE","Women",0,1980
"MON","Women",0,1980
"MOZ","Women",2,1980
"MRI","Women",0,1980
"MTN","Women",0,1980
"MYA","Women",0,1980
"NAM","Women",0,1980
"NCA","Women",1,1980
"NED","Women",2,1980
"NEP","Women",0,1980
"NGR","Women",6,1980
"NIG","Women",0,1980
"NOR","Women",0,1980
"NZL","Women",0,1980
"OMA","Women",0,1980
"PAK","Women",0,1980
"PAN","Women",0,1980
"PAR","Women",0,1980
"PER","Women",2,1980
"PHI","Women",0,1980
"PLE","Women",0,1980
"PLW","Women",0,1980
"PNG","Women",0,1980
"POL","Women",17,1980
"POR","Women",0,1980
"PRK","Women",0,1980
"PRY","Women",0,1980
"PUR","Women",0,1980
"QAT","Women",0,1980
"ROU","Women",13,1980
"RSA","Women",0,1980
"RUS","Women",0,1980
"RWA","Women",0,1980
"SAM","Women",0,1980
"SCG","Women",0,1980
"SEN","Women",2,1980
"SEY","Women",2,1980
"SIN","Women",0,1980
"SKN","Women",0,1980
"SLE","Women",2,1980
"SLO","Women",0,1980
"SMR","Women",0,1980
"SOL","Women",0,1980
"SOM","Women",0,1980
"SRB","Women",0,1980
"SRI","Women",0,1980
"SSD","Women",0,1980
"STP","Women",0,1980
"SUD","Women",0,1980
"SUI","Women",2,1980
"SUR","Women",0,1980
"SVK","Women",0,1980
"SWE","Women",6,1980
"SWZ","Women",0,1980
"SYR","Women",2,1980
"TAN","Women",5,1980
"TCH","Women",4,1980
"TGA","Women",0,1980
"THA","Women",0,1980
"TJK","Women",0,1980
"TKM","Women",0,1980
"TLS","Women",0,1980
"TOG","Women",0,1980
"TPE","Women",0,1980
"TTO","Women",0,1980
"TUN","Women",0,1980
"TUR","Women",0,1980
"TUV","Women",0,1980
"UAE","Women",0,1980
"UGA","Women",0,1980
"UKR","Women",0,1980
"URS","Women",35,1980
"URU","Women",0,1980
"USA","Women",0,1980
"UZB","Women",0,1980
"VAN","Women",0,1980
"VEN","Women",0,1980
"VIE","Women",4,1980
"VIN","Women",0,1980
"YAR","Women",0,1980
"YEM","Women",0,1980
"YUG","Women",2,1980
"ZAI","Women",0,1980
"ZAM","Women",0,1980
"ZIM","Women",0,1980
