"Land","Geschlecht","count","Jahr"
"AFG","Men",0,1984
"AHO","Men",1,1984
"ALB","Men",0,1984
"ALG","Men",9,1984
"AND","Men",0,1984
"ANG","Men",0,1984
"ANT","Men",6,1984
"ARG","Men",4,1984
"ARM","Men",0,1984
"ARU","Men",0,1984
"ASA","Men",0,1984
"AUS","Men",20,1984
"AUT","Men",6,1984
"AZE","Men",0,1984
"BAH","Men",9,1984
"BAN","Men",1,1984
"BAR","Men",7,1984
"BDI","Men",0,1984
"BEL","Men",11,1984
"BEN","Men",0,1984
"BER","Men",3,1984
"BIH","Men",0,1984
"BIR","Men",0,1984
"BIZ","Men",4,1984
"BLR","Men",0,1984
"BOL","Men",2,1984
"BOT","Men",6,1984
"BRA","Men",17,1984
"BRN","Men",1,1984
"BRU","Men",0,1984
"BUL","Men",0,1984
"BUR","Men",0,1984
"CAF","Men",1,1984
"CAM","Men",0,1984
"CAN","Men",32,1984
"CAY","Men",0,1984
"CGO","Men",5,1984
"CHA","Men",3,1984
"CHI","Men",4,1984
"CHN","Men",13,1984
"CIV","Men",5,1984
"CMR","Men",5,1984
"COD","Men",0,1984
"COK","Men",0,1984
"COL","Men",5,1984
"COM","Men",0,1984
"CPV","Men",0,1984
"CRC","Men",3,1984
"CRO","Men",0,1984
"CUB","Men",0,1984
"CUR","Men",0,1984
"CYP","Men",3,1984
"CZE","Men",0,1984
"DEN","Men",2,1984
"DJI","Men",3,1984
"DMA","Men",0,1984
"DOM","Men",2,1984
"ECU","Men",3,1984
"EGY","Men",7,1984
"ERI","Men",0,1984
"ESA","Men",3,1984
"ESP","Men",24,1984
"EST","Men",0,1984
"ETH","Men",0,1984
"EUN","Men",0,1984
"FIJ","Men",3,1984
"FIN","Men",14,1984
"FRA","Men",31,1984
"FRG","Men",35,1984
"FSM","Men",0,1984
"GAB","Men",0,1984
"GAM","Men",6,1984
"GBR","Men",51,1984
"GBS","Men",0,1984
"GDR","Men",0,1984
"GEO","Men",0,1984
"GEQ","Men",4,1984
"GER","Men",0,1984
"GHA","Men",8,1984
"GRE","Men",8,1984
"GRN","Men",1,1984
"GUA","Men",5,1984
"GUI","Men",0,1984
"GUM","Men",0,1984
"GUY","Men",2,1984
"HAI","Men",1,1984
"HKG","Men",1,1984
"HON","Men",2,1984
"HUN","Men",0,1984
"ICP","Men",0,1984
"INA","Men",4,1984
"IND","Men",3,1984
"IOA","Men",0,1984
"IRI","Men",0,1984
"IRL","Men",10,1984
"IRQ","Men",0,1984
"ISL","Men",5,1984
"ISR","Men",4,1984
"ISV","Men",4,1984
"ITA","Men",39,1984
"IVB","Men",4,1984
"JAM","Men",18,1984
"JOR","Men",4,1984
"JPN","Men",16,1984
"KAZ","Men",0,1984
"KEN","Men",27,1984
"KGZ","Men",0,1984
"KIR","Men",0,1984
"KOR","Men",9,1984
"KSA","Men",0,1984
"KUW","Men",2,1984
"LAN","Men",0,1984
"LAO","Men",0,1984
"LAT","Men",0,1984
"LBA","Men",0,1984
"LBR","Men",6,1984
"LCA","Men",0,1984
"LES","Men",2,1984
"LIB","Men",2,1984
"LIE","Men",1,1984
"LTU","Men",0,1984
"LUX","Men",1,1984
"MAD","Men",2,1984
"MAR","Men",2,1984
"MAS","Men",2,1984
"MAW","Men",5,1984
"MDA","Men",0,1984
"MDV","Men",0,1984
"MEX","Men",12,1984
"MGL","Men",0,1984
"MHL","Men",0,1984
"MKD","Men",0,1984
"MLI","Men",2,1984
"MLT","Men",0,1984
"MNE","Men",0,1984
"MON","Men",0,1984
"MOZ","Men",6,1984
"MRI","Men",3,1984
"MTN","Men",0,1984
"MYA","Men",0,1984
"NAM","Men",0,1984
"NCA","Men",0,1984
"NED","Men",6,1984
"NEP","Men",5,1984
"NGR","Men",15,1984
"NIG","Men",2,1984
"NOR","Men",9,1984
"NZL","Men",9,1984
"OMA","Men",7,1984
"PAK","Men",3,1984
"PAN","Men",2,1984
"PAR","Men",5,1984
"PER","Men",1,1984
"PHI","Men",3,1984
"PLE","Men",0,1984
"PLW","Men",0,1984
"PNG","Men",2,1984
"POL","Men",0,1984
"POR","Men",9,1984
"PRK","Men",0,1984
"PRY","Men",0,1984
"PUR","Men",7,1984
"QAT","Men",6,1984
"ROU","Men",0,1984
"RSA","Men",0,1984
"RUS","Men",0,1984
"RWA","Men",2,1984
"SAM","Men",2,1984
"SCG","Men",0,1984
"SEN","Men",10,1984
"SEY","Men",4,1984
"SIN","Men",0,1984
"SKN","Men",0,1984
"SLE","Men",4,1984
"SLO","Men",0,1984
"SMR","Men",2,1984
"SOL","Men",2,1984
"SOM","Men",7,1984
"SRB","Men",0,1984
"SRI","Men",0,1984
"SSD","Men",0,1984
"STP","Men",0,1984
"SUD","Men",3,1984
"SUI","Men",13,1984
"SUR","Men",2,1984
"SVK","Men",0,1984
"SWE","Men",18,1984
"SWZ","Men",3,1984
"SYR","Men",0,1984
"TAN","Men",10,1984
"TCH","Men",0,1984
"TGA","Men",0,1984
"THA","Men",4,1984
"TJK","Men",0,1984
"TKM","Men",0,1984
"TLS","Men",0,1984
"TOG","Men",3,1984
"TPE","Men",6,1984
"TTO","Men",6,1984
"TUN","Men",2,1984
"TUR","Men",4,1984
"TUV","Men",0,1984
"UAE","Men",7,1984
"UGA","Men",8,1984
"UKR","Men",0,1984
"URS","Men",0,1984
"URU","Men",0,1984
"USA","Men",66,1984
"UZB","Men",0,1984
"VAN","Men",0,1984
"VEN","Men",3,1984
"VIE","Men",0,1984
"VIN","Men",0,1984
"YAR","Men",2,1984
"YEM","Men",0,1984
"YUG","Men",4,1984
"ZAI","Men",1,1984
"ZAM","Men",4,1984
"ZIM","Men",5,1984
"AFG","Women",0,1984
"AHO","Women",2,1984
"ALB","Women",0,1984
"ALG","Women",0,1984
"AND","Women",0,1984
"ANG","Women",0,1984
"ANT","Women",4,1984
"ARG","Women",3,1984
"ARM","Women",0,1984
"ARU","Women",0,1984
"ASA","Women",0,1984
"AUS","Women",10,1984
"AUT","Women",0,1984
"AZE","Women",0,1984
"BAH","Women",5,1984
"BAN","Women",0,1984
"BAR","Women",2,1984
"BDI","Women",0,1984
"BEL","Women",4,1984
"BEN","Women",0,1984
"BER","Women",1,1984
"BIH","Women",0,1984
"BIR","Women",0,1984
"BIZ","Women",0,1984
"BLR","Women",0,1984
"BOL","Women",1,1984
"BOT","Women",0,1984
"BRA","Women",3,1984
"BRN","Women",0,1984
"BRU","Women",0,1984
"BUL","Women",0,1984
"BUR","Women",0,1984
"CAF","Women",0,1984
"CAM","Women",0,1984
"CAN","Women",29,1984
"CAY","Women",0,1984
"CGO","Women",1,1984
"CHA","Women",0,1984
"CHI","Women",2,1984
"CHN","Women",9,1984
"CIV","Women",1,1984
"CMR","Women",4,1984
"COD","Women",0,1984
"COK","Women",0,1984
"COL","Women",0,1984
"COM","Women",0,1984
"CPV","Women",0,1984
"CRC","Women",0,1984
"CRO","Women",0,1984
"CUB","Women",0,1984
"CUR","Women",0,1984
"CYP","Women",0,1984
"CZE","Women",0,1984
"DEN","Women",1,1984
"DJI","Women",0,1984
"DMA","Women",0,1984
"DOM","Women",2,1984
"ECU","Women",0,1984
"EGY","Women",0,1984
"ERI","Women",0,1984
"ESA","Women",1,1984
"ESP","Women",2,1984
"EST","Women",0,1984
"ETH","Women",0,1984
"EUN","Women",0,1984
"FIJ","Women",1,1984
"FIN","Women",8,1984
"FRA","Women",12,1984
"FRG","Women",23,1984
"FSM","Women",0,1984
"GAB","Women",2,1984
"GAM","Women",4,1984
"GBR","Women",34,1984
"GBS","Women",0,1984
"GDR","Women",0,1984
"GEO","Women",0,1984
"GEQ","Women",0,1984
"GER","Women",0,1984
"GHA","Women",7,1984
"GRE","Women",2,1984
"GRN","Women",1,1984
"GUA","Women",2,1984
"GUI","Women",0,1984
"GUM","Women",0,1984
"GUY","Women",2,1984
"HAI","Women",0,1984
"HKG","Women",2,1984
"HON","Women",1,1984
"HUN","Women",0,1984
"ICP","Women",0,1984
"INA","Women",1,1984
"IND","Women",5,1984
"IOA","Women",0,1984
"IRI","Women",0,1984
"IRL","Women",7,1984
"IRQ","Women",0,1984
"ISL","Women",2,1984
"ISR","Women",2,1984
"ISV","Women",0,1984
"ITA","Women",12,1984
"IVB","Women",0,1984
"JAM","Women",14,1984
"JOR","Women",1,1984
"JPN","Women",6,1984
"KAZ","Women",0,1984
"KEN","Women",5,1984
"KGZ","Women",0,1984
"KIR","Women",0,1984
"KOR","Women",2,1984
"KSA","Women",0,1984
"KUW","Women",0,1984
"LAN","Women",0,1984
"LAO","Women",0,1984
"LAT","Women",0,1984
"LBA","Women",0,1984
"LBR","Women",1,1984
"LCA","Women",0,1984
"LES","Women",0,1984
"LIB","Women",1,1984
"LIE","Women",2,1984
"LTU","Women",0,1984
"LUX","Women",0,1984
"MAD","Women",0,1984
"MAR","Women",1,1984
"MAS","Women",0,1984
"MAW","Women",0,1984
"MDA","Women",0,1984
"MDV","Women",0,1984
"MEX","Women",4,1984
"MGL","Women",0,1984
"MHL","Women",0,1984
"MKD","Women",0,1984
"MLI","Women",0,1984
"MLT","Women",1,1984
"MNE","Women",0,1984
"MON","Women",0,1984
"MOZ","Women",1,1984
"MRI","Women",1,1984
"MTN","Women",0,1984
"MYA","Women",0,1984
"NAM","Women",0,1984
"NCA","Women",0,1984
"NED","Women",7,1984
"NEP","Women",0,1984
"NGR","Women",2,1984
"NIG","Women",0,1984
"NOR","Women",4,1984
"NZL","Women",5,1984
"OMA","Women",0,1984
"PAK","Women",0,1984
"PAN","Women",0,1984
"PAR","Women",0,1984
"PER","Women",1,1984
"PHI","Women",3,1984
"PLE","Women",0,1984
"PLW","Women",0,1984
"PNG","Women",3,1984
"POL","Women",0,1984
"POR","Women",5,1984
"PRK","Women",0,1984
"PRY","Women",0,1984
"PUR","Women",7,1984
"QAT","Women",0,1984
"ROU","Women",9,1984
"RSA","Women",0,1984
"RUS","Women",0,1984
"RWA","Women",1,1984
"SAM","Women",0,1984
"SCG","Women",0,1984
"SEN","Women",1,1984
"SEY","Women",1,1984
"SIN","Women",0,1984
"SKN","Women",0,1984
"SLE","Women",1,1984
"SLO","Women",0,1984
"SMR","Women",0,1984
"SOL","Women",0,1984
"SOM","Women",0,1984
"SRB","Women",0,1984
"SRI","Women",0,1984
"SSD","Women",0,1984
"STP","Women",0,1984
"SUD","Women",0,1984
"SUI","Women",4,1984
"SUR","Women",0,1984
"SVK","Women",0,1984
"SWE","Women",6,1984
"SWZ","Women",0,1984
"SYR","Women",0,1984
"TAN","Women",2,1984
"TCH","Women",0,1984
"TGA","Women",0,1984
"THA","Women",6,1984
"TJK","Women",0,1984
"TKM","Women",0,1984
"TLS","Women",0,1984
"TOG","Women",0,1984
"TPE","Women",4,1984
"TTO","Women",5,1984
"TUN","Women",0,1984
"TUR","Women",1,1984
"TUV","Women",0,1984
"UAE","Women",0,1984
"UGA","Women",2,1984
"UKR","Women",0,1984
"URS","Women",0,1984
"URU","Women",0,1984
"USA","Women",44,1984
"UZB","Women",0,1984
"VAN","Women",0,1984
"VEN","Women",0,1984
"VIE","Women",0,1984
"VIN","Women",0,1984
"YAR","Women",0,1984
"YEM","Women",0,1984
"YUG","Women",2,1984
"ZAI","Women",1,1984
"ZAM","Women",0,1984
"ZIM","Women",1,1984
"AFG","Men",0,1988
"AHO","Men",0,1988
"ALB","Men",0,1988
"ALG","Men",11,1988
"AND","Men",1,1988
"ANG","Men",5,1988
"ANT","Men",7,1988
"ARG","Men",2,1988
"ARM","Men",0,1988
"ARU","Men",0,1988
"ASA","Men",1,1988
"AUS","Men",16,1988
"AUT","Men",9,1988
"AZE","Men",0,1988
"BAH","Men",8,1988
"BAN","Men",4,1988
"BAR","Men",5,1988
"BDI","Men",0,1988
"BEL","Men",7,1988
"BEN","Men",5,1988
"BER","Men",5,1988
"BIH","Men",0,1988
"BIR","Men",0,1988
"BIZ","Men",5,1988
"BLR","Men",0,1988
"BOL","Men",2,1988
"BOT","Men",6,1988
"BRA","Men",14,1988
"BRN","Men",3,1988
"BRU","Men",0,1988
"BUL","Men",10,1988
"BUR","Men",3,1988
"CAF","Men",1,1988
"CAM","Men",0,1988
"CAN","Men",38,1988
"CAY","Men",1,1988
"CGO","Men",5,1988
"CHA","Men",6,1988
"CHI","Men",5,1988
"CHN","Men",16,1988
"CIV","Men",6,1988
"CMR","Men",3,1988
"COD","Men",0,1988
"COK","Men",1,1988
"COL","Men",3,1988
"COM","Men",0,1988
"CPV","Men",0,1988
"CRC","Men",3,1988
"CRO","Men",0,1988
"CUB","Men",0,1988
"CUR","Men",0,1988
"CYP","Men",2,1988
"CZE","Men",0,1988
"DEN","Men",4,1988
"DJI","Men",5,1988
"DMA","Men",0,1988
"DOM","Men",3,1988
"ECU","Men",3,1988
"EGY","Men",4,1988
"ERI","Men",0,1988
"ESA","Men",1,1988
"ESP","Men",27,1988
"EST","Men",0,1988
"ETH","Men",0,1988
"EUN","Men",0,1988
"FIJ","Men",7,1988
"FIN","Men",11,1988
"FRA","Men",33,1988
"FRG","Men",25,1988
"FSM","Men",0,1988
"GAB","Men",0,1988
"GAM","Men",2,1988
"GBR","Men",57,1988
"GBS","Men",0,1988
"GDR","Men",25,1988
"GEO","Men",0,1988
"GEQ","Men",4,1988
"GER","Men",0,1988
"GHA","Men",6,1988
"GRE","Men",0,1988
"GRN","Men",0,1988
"GUA","Men",0,1988
"GUI","Men",2,1988
"GUM","Men",3,1988
"GUY","Men",2,1988
"HAI","Men",2,1988
"HKG","Men",1,1988
"HON","Men",3,1988
"HUN","Men",12,1988
"ICP","Men",0,1988
"INA","Men",5,1988
"IND","Men",0,1988
"IOA","Men",0,1988
"IRI","Men",1,1988
"IRL","Men",14,1988
"IRQ","Men",2,1988
"ISL","Men",5,1988
"ISR","Men",0,1988
"ISV","Men",6,1988
"ITA","Men",27,1988
"IVB","Men",2,1988
"JAM","Men",15,1988
"JOR","Men",0,1988
"JPN","Men",23,1988
"KAZ","Men",0,1988
"KEN","Men",29,1988
"KGZ","Men",0,1988
"KIR","Men",0,1988
"KOR","Men",27,1988
"KSA","Men",6,1988
"KUW","Men",6,1988
"LAN","Men",0,1988
"LAO","Men",0,1988
"LAT","Men",0,1988
"LBA","Men",2,1988
"LBR","Men",3,1988
"LCA","Men",0,1988
"LES","Men",3,1988
"LIB","Men",2,1988
"LIE","Men",1,1988
"LTU","Men",0,1988
"LUX","Men",2,1988
"MAD","Men",0,1988
"MAR","Men",8,1988
"MAS","Men",1,1988
"MAW","Men",5,1988
"MDA","Men",0,1988
"MDV","Men",7,1988
"MEX","Men",18,1988
"MGL","Men",0,1988
"MHL","Men",0,1988
"MKD","Men",0,1988
"MLI","Men",2,1988
"MLT","Men",0,1988
"MNE","Men",0,1988
"MON","Men",1,1988
"MOZ","Men",2,1988
"MRI","Men",1,1988
"MTN","Men",2,1988
"MYA","Men",0,1988
"NAM","Men",0,1988
"NCA","Men",0,1988
"NED","Men",9,1988
"NEP","Men",5,1988
"NGR","Men",17,1988
"NIG","Men",3,1988
"NOR","Men",7,1988
"NZL","Men",2,1988
"OMA","Men",5,1988
"PAK","Men",7,1988
"PAN","Men",0,1988
"PAR","Men",3,1988
"PER","Men",1,1988
"PHI","Men",1,1988
"PLE","Men",0,1988
"PLW","Men",0,1988
"PNG","Men",4,1988
"POL","Men",12,1988
"POR","Men",23,1988
"PRK","Men",0,1988
"PRY","Men",3,1988
"PUR","Men",4,1988
"QAT","Men",8,1988
"ROU","Men",1,1988
"RSA","Men",0,1988
"RUS","Men",0,1988
"RWA","Men",3,1988
"SAM","Men",1,1988
"SCG","Men",0,1988
"SEN","Men",11,1988
"SEY","Men",0,1988
"SIN","Men",0,1988
"SKN","Men",0,1988
"SLE","Men",7,1988
"SLO","Men",0,1988
"SMR","Men",2,1988
"SOL","Men",1,1988
"SOM","Men",5,1988
"SRB","Men",0,1988
"SRI","Men",1,1988
"SSD","Men",0,1988
"STP","Men",0,1988
"SUD","Men",3,1988
"SUI","Men",10,1988
"SUR","Men",1,1988
"SVK","Men",0,1988
"SWE","Men",10,1988
"SWZ","Men",5,1988
"SYR","Men",1,1988
"TAN","Men",6,1988
"TCH","Men",20,1988
"TGA","Men",1,1988
"THA","Men",4,1988
"TJK","Men",0,1988
"TKM","Men",0,1988
"TLS","Men",0,1988
"TOG","Men",3,1988
"TPE","Men",6,1988
"TTO","Men",2,1988
"TUN","Men",2,1988
"TUR","Men",3,1988
"TUV","Men",0,1988
"UAE","Men",0,1988
"UGA","Men",9,1988
"UKR","Men",0,1988
"URS","Men",39,1988
"URU","Men",0,1988
"USA","Men",69,1988
"UZB","Men",0,1988
"VAN","Men",2,1988
"VEN","Men",0,1988
"VIE","Men",2,1988
"VIN","Men",5,1988
"YAR","Men",4,1988
"YEM","Men",0,1988
"YUG","Men",8,1988
"ZAI","Men",4,1988
"ZAM","Men",4,1988
"ZIM","Men",5,1988
"AFG","Women",0,1988
"AHO","Women",0,1988
"ALB","Women",0,1988
"ALG","Women",1,1988
"AND","Women",0,1988
"ANG","Women",1,1988
"ANT","Women",3,1988
"ARG","Women",0,1988
"ARM","Women",0,1988
"ARU","Women",2,1988
"ASA","Women",0,1988
"AUS","Women",12,1988
"AUT","Women",1,1988
"AZE","Women",0,1988
"BAH","Women",3,1988
"BAN","Women",0,1988
"BAR","Women",1,1988
"BDI","Women",0,1988
"BEL","Women",6,1988
"BEN","Women",1,1988
"BER","Women",0,1988
"BIH","Women",0,1988
"BIR","Women",2,1988
"BIZ","Women",0,1988
"BLR","Women",0,1988
"BOL","Women",0,1988
"BOT","Women",0,1988
"BRA","Women",6,1988
"BRN","Women",0,1988
"BRU","Women",0,1988
"BUL","Women",12,1988
"BUR","Women",1,1988
"CAF","Women",0,1988
"CAM","Women",0,1988
"CAN","Women",25,1988
"CAY","Women",1,1988
"CGO","Women",2,1988
"CHA","Women",0,1988
"CHI","Women",0,1988
"CHN","Women",28,1988
"CIV","Women",3,1988
"CMR","Women",2,1988
"COD","Women",0,1988
"COK","Women",1,1988
"COL","Women",5,1988
"COM","Women",0,1988
"CPV","Women",0,1988
"CRC","Women",1,1988
"CRO","Women",0,1988
"CUB","Women",0,1988
"CUR","Women",0,1988
"CYP","Women",2,1988
"CZE","Women",0,1988
"DEN","Women",1,1988
"DJI","Women",0,1988
"DMA","Women",0,1988
"DOM","Women",0,1988
"ECU","Women",2,1988
"EGY","Women",0,1988
"ERI","Women",0,1988
"ESA","Women",1,1988
"ESP","Women",7,1988
"EST","Women",0,1988
"ETH","Women",0,1988
"EUN","Women",0,1988
"FIJ","Women",1,1988
"FIN","Women",7,1988
"FRA","Women",22,1988
"FRG","Women",22,1988
"FSM","Women",0,1988
"GAB","Women",1,1988
"GAM","Women",1,1988
"GBR","Women",45,1988
"GBS","Women",0,1988
"GDR","Women",33,1988
"GEO","Women",0,1988
"GEQ","Women",2,1988
"GER","Women",0,1988
"GHA","Women",5,1988
"GRE","Women",6,1988
"GRN","Women",2,1988
"GUA","Women",1,1988
"GUI","Women",0,1988
"GUM","Women",3,1988
"GUY","Women",1,1988
"HAI","Women",1,1988
"HKG","Women",2,1988
"HON","Women",0,1988
"HUN","Women",3,1988
"ICP","Women",0,1988
"INA","Women",0,1988
"IND","Women",5,1988
"IOA","Women",0,1988
"IRI","Women",0,1988
"IRL","Women",4,1988
"IRQ","Women",0,1988
"ISL","Women",2,1988
"ISR","Women",0,1988
"ISV","Women",1,1988
"ITA","Women",11,1988
"IVB","Women",0,1988
"JAM","Women",11,1988
"JOR","Women",0,1988
"JPN","Women",6,1988
"KAZ","Women",0,1988
"KEN","Women",4,1988
"KGZ","Women",0,1988
"KIR","Women",0,1988
"KOR","Women",20,1988
"KSA","Women",0,1988
"KUW","Women",0,1988
"LAN","Women",0,1988
"LAO","Women",1,1988
"LAT","Women",0,1988
"LBA","Women",0,1988
"LBR","Women",1,1988
"LCA","Women",0,1988
"LES","Women",0,1988
"LIB","Women",1,1988
"LIE","Women",2,1988
"LTU","Women",0,1988
"LUX","Women",1,1988
"MAD","Women",0,1988
"MAR","Women",3,1988
"MAS","Women",1,1988
"MAW","Women",0,1988
"MDA","Women",0,1988
"MDV","Women",0,1988
"MEX","Women",3,1988
"MGL","Women",0,1988
"MHL","Women",0,1988
"MKD","Women",0,1988
"MLI","Women",1,1988
"MLT","Women",0,1988
"MNE","Women",0,1988
"MON","Women",0,1988
"MOZ","Women",1,1988
"MRI","Women",2,1988
"MTN","Women",0,1988
"MYA","Women",0,1988
"NAM","Women",0,1988
"NCA","Women",0,1988
"NED","Women",9,1988
"NEP","Women",2,1988
"NGR","Women",6,1988
"NIG","Women",0,1988
"NOR","Women",5,1988
"NZL","Women",4,1988
"OMA","Women",0,1988
"PAK","Women",0,1988
"PAN","Women",0,1988
"PAR","Women",0,1988
"PER","Women",0,1988
"PHI","Women",3,1988
"PLE","Women",0,1988
"PLW","Women",0,1988
"PNG","Women",2,1988
"POL","Women",9,1988
"POR","Women",5,1988
"PRK","Women",0,1988
"PRY","Women",0,1988
"PUR","Women",1,1988
"QAT","Women",0,1988
"ROU","Women",4,1988
"RSA","Women",0,1988
"RUS","Women",0,1988
"RWA","Women",3,1988
"SAM","Women",0,1988
"SCG","Women",0,1988
"SEN","Women",1,1988
"SEY","Women",0,1988
"SIN","Women",0,1988
"SKN","Women",0,1988
"SLE","Women",1,1988
"SLO","Women",0,1988
"SMR","Women",0,1988
"SOL","Women",0,1988
"SOM","Women",0,1988
"SRB","Women",0,1988
"SRI","Women",1,1988
"SSD","Women",0,1988
"STP","Women",0,1988
"SUD","Women",0,1988
"SUI","Women",9,1988
"SUR","Women",2,1988
"SVK","Women",0,1988
"SWE","Women",1,1988
"SWZ","Women",0,1988
"SYR","Women",0,1988
"TAN","Women",0,1988
"TCH","Women",3,1988
"TGA","Women",1,1988
"THA","Women",0,1988
"TJK","Women",0,1988
"TKM","Women",0,1988
"TLS","Women",0,1988
"TOG","Women",0,1988
"TPE","Women",6,1988
"TTO","Women",1,1988
"TUN","Women",0,1988
"TUR","Women",1,1988
"TUV","Women",0,1988
"UAE","Women",0,1988
"UGA","Women",4,1988
"UKR","Women",0,1988
"URS","Women",44,1988
"URU","Women",1,1988
"USA","Women",45,1988
"UZB","Women",0,1988
"VAN","Women",1,1988
"VEN","Women",0,1988
"VIE","Women",0,1988
"VIN","Women",1,1988
"YAR","Women",0,1988
"YEM","Women",0,1988
"YUG","Women",2,1988
"ZAI","Women",2,1988
"ZAM","Women",0,1988
"ZIM","Women",2,1988
"AFG","Men",0,1992
"AHO","Men",1,1992
